d
"(:Document {NumberWords: 280, Identifier: bg_CURLICAT_bg-bnc-01351, PublicationDate: N/A, NumberTokens: 313, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: POLITICS, NumberParagraphs: 7, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 14, URL: http//setimes.com/})"
"(:Document {NumberWords: 2027, Identifier: bg_CURLICAT_bg-bnc-01541, PublicationDate: N/A, NumberTokens: 2252, CollectionDate: 2022-05-01T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 2, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, Style: N/A, DocumentTitle: Предислокация на българските войски през септември 1885 г., NumberSentences: 95, URL: https://bpos.bg/api/FilesStorage?key=9e1f5ced-2031-4fe7-9b6f-41600e424ed5&fileName=file1441887242-99-109.pdf&dbId=1})"
"(:Document {NumberWords: 721, Identifier: bg_CURLICAT_bg-bnc-02161, PublicationDate: N/A, NumberTokens: 799, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 17, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 38, URL: http//setimes.com/})"
"(:Document {NumberWords: 152, Identifier: bg_CURLICAT_bg-bnc-02465, PublicationDate: N/A, NumberTokens: 175, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EDUCATION AND COMMUNICATIONS|SOCIAL QUESTIONS|SCIENCE|POLITICS, NumberParagraphs: 4, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 11, URL: http//setimes.com/})"
"(:Document {NumberWords: 265, Identifier: bg_CURLICAT_bg-bnc-03204, PublicationDate: N/A, NumberTokens: 297, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 5, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 12, URL: http//setimes.com/})"
"(:Document {NumberWords: 313, Identifier: bg_CURLICAT_bg-bnc-04229, PublicationDate: N/A, NumberTokens: 344, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EUROPEAN UNION, NumberParagraphs: 6, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 14, URL: http//setimes.com/})"
"(:Document {NumberWords: 387, Identifier: bg_CURLICAT_bg-bnc-04763, PublicationDate: N/A, NumberTokens: 442, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: FINANCE, NumberParagraphs: 7, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 20, URL: http//setimes.com/})"
"(:Document {NumberWords: 254, Identifier: bg_CURLICAT_bg-bnc-04860, PublicationDate: N/A, NumberTokens: 282, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 6, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 16, URL: http//setimes.com/})"
"(:Document {NumberWords: 219, Identifier: bg_CURLICAT_bg-bnc-04997, PublicationDate: N/A, NumberTokens: 243, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: GEOGRAPHY, NumberParagraphs: 4, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 12, URL: http//setimes.com/})"
"(:Document {NumberWords: 419, Identifier: bg_CURLICAT_bg-bnc-05253, PublicationDate: N/A, NumberTokens: 472, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EUROPEAN UNION|GEOGRAPHY, NumberParagraphs: 6, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 20, URL: http//setimes.com/})"
"(:Document {NumberWords: 218, Identifier: bg_CURLICAT_bg-bnc-05471, PublicationDate: N/A, NumberTokens: 248, CollectionDate: 2022-05-23T00:00:00Z, Subdomain: EUROPEAN UNION, NumberParagraphs: 8, LicenceLink: https://elrc-share.eu/static/metashare/licences/CC-BY-SA-4.0.pdf, DocumentTitle: N/A, NumberSentences: 11, URL: http//setimes.com/})"
